country,region,year,industry,gas_type,emissions_mt
India,Asia,2003,Waste,Sf6,2.265
United Kingdom,Europe,2013,Buildings,Ch4,8.216
Australia,Oceania,2016,Waste,Hfcs,0.195
United Kingdom,Europe,2006,Buildings,Hfcs,9.651
France,Europe,2021,Transport,N2O,9.065
South Korea,Asia,2008,Buildings,Ch4,11.584
Germany,Europe,2021,Energy,Sf6,3.41
United States,North America,2021,Transport,N2O,123.526
Japan,Asia,2017,Buildings,N2O,9.356
Russia,Europe,2016,Energy,N2O,41.3
Japan,Asia,2004,Energy,,7.128
Brazil,South America,2021,Buildings,Ch4,1.635
India,Asia,2018,Industrial Processes,Hfcs,30.486
South Africa,Africa,2002,Buildings,N2O,1.8
Germany,Europe,2022,Buildings,Hfcs,10.849
India,Asia,2021,Agriculture,Ch4,123.526
Indonesia,Asia,2012,Agriculture,Hfcs,8.177
South Africa,Africa,2022,Buildings,Ch4,3.051
Mexico,North America,2005,Energy,N2O,7.443
Brazil,South America,2010,Waste,Ch4,24.47
United Kingdom,Europe,2021,Waste,N2O,1.452
United States,North America,2003,Transport,N2O,123.526
Canada,North America,2005,Industrial Processes,Co2,6.435
,Europe,2008,Agriculture,Co2,7.128
Indonesia,Asia,2014,Manufacturing,Sf6,4.637
Canada,North America,2000,Manufacturing,Co2,49.243
Indonesia,Asia,2005,Energy,Hfcs,9.614
India,Asia,2013,Industrial Processes,Hfcs,25.726
Japan,Asia,2002,Industrial Processes,Hfcs,3.05
India,Asia,2012,Energy,Sf6,30.456
United Kingdom,Europe,2011,Land Use,Hfcs,0.132
Japan,Asia,2002,Transport,Sf6,2.414
South Africa,Africa,2019,,Ch4,7.128
United Kingdom,Europe,2015,Manufacturing,Ch4,4.704
Brazil,South America,2023,Manufacturing,N2O,7.392
Germany,Europe,2015,Industrial Processes,Co2,5.304
South Africa,Africa,2003,Transport,Ch4,2.796
United Kingdom,Europe,2009,Land Use,N2O,1.173
Japan,Asia,2003,Land Use,Hfcs,0.1
Australia,Oceania,2023,Industrial Processes,Sf6,1.545
Canada,North America,2008,Land Use,Sf6,0.144
Indonesia,Asia,2008,Agriculture,Sf6,1.772
United Kingdom,Europe,2001,Industrial Processes,N2O,0.408
China,Asia,2012,Industrial Processes,Hfcs,123.526
South Africa,Africa,2008,Manufacturing,N2O,7.071
Mexico,North America,2016,Waste,N2O,5.155
South Africa,Africa,2001,Manufacturing,Hfcs,6.614
South Africa,Africa,2020,Agriculture,Sf6,0.726
United Kingdom,Europe,2007,Waste,Sf6,0.105
Japan,Asia,2014,Buildings,N2O,9.746
United States,North America,2006,Waste,Ch4,100.014
South Africa,Africa,2011,Waste,Hfcs,0.268
United States,North America,2004,Energy,Hfcs,58.07
Germany,Europe,2015,Buildings,Sf6,0.85
United States,North America,2001,Land Use,Sf6,1.108
Russia,Europe,2022,Buildings,Sf6,1.374
Mexico,North America,2015,Energy,Co2,112.774
Japan,Asia,2000,Waste,Ch4,22.261
Brazil,South America,2015,Manufacturing,Sf6,3.771
Canada,North America,2019,Waste,Ch4,16.142
Mexico,North America,2023,Energy,N2O,8.857
Indonesia,Asia,2012,Energy,N2O,18.052
China,Asia,2007,Agriculture,Co2,121.708
Indonesia,Asia,2009,Waste,Hfcs,0.464
Indonesia,Asia,2012,Land Use,Ch4,41.926
Canada,North America,2002,Buildings,Co2,53.309
South Africa,Africa,2010,Agriculture,N2O,22.835
India,Asia,2009,Transport,Hfcs,25.038
Australia,Oceania,2010,Transport,Sf6,0.921
Germany,Europe,2006,Transport,N2O,14.414
Mexico,North America,2010,Transport,Hfcs,5.46
United States,North America,2023,Land Use,Ch4,20.195
Australia,Oceania,2009,Manufacturing,Ch4,4.482
Indonesia,Asia,2013,Industrial Processes,Hfcs,2.547
Russia,Europe,2002,Waste,Hfcs,0.617
South Korea,Asia,2008,Energy,Ch4,52.791
United States,North America,2019,Buildings,Co2,123.526
France,Europe,2006,Manufacturing,Sf6,0.931
Canada,North America,2015,Agriculture,Hfcs,2.791
Russia,Europe,2001,Buildings,Hfcs,20.212
France,Europe,2013,Manufacturing,Hfcs,1.72
Australia,Oceania,2004,Buildings,Hfcs,4.601
India,Asia,2017,Waste,Sf6,3.701
Mexico,North America,2003,Industrial Processes,Co2,2.124
Germany,Europe,2012,Land Use,Ch4,1.275
Canada,North America,2022,Land Use,Sf6,0.138
Japan,Asia,2000,Land Use,N2O,0.1
France,Europe,2014,Industrial Processes,Sf6,0.502
France,Europe,2015,Transport,Sf6,1.016
South Korea,Asia,2019,Energy,Co2,123.526
Japan,Asia,2003,Land Use,N2O,0.1
South Korea,Asia,2006,Transport,Co2,87.491
Indonesia,Asia,2019,Transport,Ch4,7.998
Australia,Oceania,2019,Energy,Sf6,4.052
South Korea,Asia,2001,Waste,Ch4,11.251
Russia,Europe,2008,Agriculture,Hfcs,8.052
United Kingdom,Europe,2008,Transport,Hfcs,4.027
South Africa,Africa,2003,Buildings,Ch4,2.752
India,Asia,2013,Energy,Sf6,30.361
Canada,North America,2003,Land Use,Co2,5.913
France,Europe,2006,Energy,N2O,4.206
India,Asia,2017,Agriculture,,7.128
China,Asia,2004,Transport,Sf6,17.803
India,Asia,2023,Manufacturing,Hfcs,123.526
,Oceania,2010,Waste,Ch4,7.128
France,Europe,2007,Buildings,N2O,6.24
Japan,Asia,2012,Land Use,N2O,0.1
India,Asia,2014,Industrial Processes,Sf6,17.602
Germany,Europe,2014,Agriculture,Co2,5.059
Mexico,North America,2008,Buildings,N2O,4.412
South Korea,Asia,2009,Buildings,Ch4,10.072
India,Asia,2005,Industrial Processes,N2O,8.112
United States,North America,2019,Buildings,Sf6,6.358
United Kingdom,Europe,2004,Waste,Co2,2.545
United Kingdom,Europe,2009,Energy,Co2,66.945
South Korea,Asia,2006,Energy,Co2,123.526
Russia,Europe,2012,Agriculture,Ch4,107.723
Canada,North America,2004,Buildings,Hfcs,12.633
France,Europe,2012,Buildings,Hfcs,8.624
Mexico,North America,2013,Waste,Hfcs,0.259
France,Europe,2020,Industrial Processes,Ch4,0.142
France,Europe,2002,Transport,Sf6,1.25
South Korea,Asia,2022,Agriculture,Co2,4.433
Australia,Oceania,2013,Transport,Sf6,0.892
South Africa,Africa,2004,Waste,Co2,4.825
Mexico,North America,2022,Industrial Processes,Ch4,0.301
South Africa,Africa,2007,Manufacturing,Sf6,3.686
Indonesia,Asia,2022,Industrial Processes,Hfcs,3.268
Australia,Oceania,2019,Buildings,Co2,23.294
India,Asia,2009,Land Use,Co2,53.871
Japan,Asia,2011,Industrial Processes,Hfcs,2.504
Mexico,North America,2006,Agriculture,Ch4,38.149
Canada,North America,2001,Energy,Co2,123.526
France,Europe,2011,Energy,Ch4,15.552
Canada,North America,2003,Industrial Processes,Hfcs,3.853
France,Europe,2010,Energy,Hfcs,2.463
United States,North America,2012,Agriculture,Sf6,4.427
Mexico,North America,2017,Agriculture,Hfcs,3.357
Russia,Europe,2010,,Sf6,7.128
Russia,Europe,2012,Manufacturing,Co2,123.526
South Africa,Africa,2008,Land Use,N2O,3.569
United States,North America,2018,Transport,Hfcs,57.033
India,Asia,2004,Manufacturing,Co2,123.526
South Africa,Africa,2020,Waste,Hfcs,0.262
South Korea,Asia,2008,Buildings,Co2,43.918
United Kingdom,Europe,2003,Industrial Processes,Co2,1.808
Russia,Europe,2020,Buildings,Hfcs,18.121
Indonesia,Asia,2011,Industrial Processes,N2O,1.017
Japan,Asia,2020,Agriculture,N2O,11.06
France,Europe,2016,Manufacturing,Ch4,1.553
Indonesia,Asia,2013,Buildings,N2O,1.117
United States,North America,2012,Agriculture,Hfcs,19.362
United Kingdom,Europe,2003,Transport,Hfcs,4.12
Mexico,North America,2007,Buildings,Co2,28.59
Japan,Asia,2011,Manufacturing,N2O,23.301
Australia,Oceania,2010,Buildings,Co2,21.188
South Africa,Africa,2006,Transport,Ch4,3.002
Germany,Europe,2006,Waste,Ch4,18.274
Mexico,North America,2008,Manufacturing,Co2,44.281
South Africa,Africa,2023,Transport,Sf6,0.607
Canada,North America,2015,Manufacturing,N2O,6.699
China,Asia,2007,Buildings,Sf6,10.908
Russia,Europe,2000,Energy,Sf6,16.759
Mexico,North America,2023,Industrial Processes,Sf6,0.896
Brazil,South America,2001,Energy,Co2,110.639
France,Europe,2018,Industrial Processes,Ch4,0.154
South Africa,Africa,2020,Buildings,Sf6,0.205
Indonesia,Asia,2002,Energy,Ch4,62.002
South Africa,Africa,2016,Industrial Processes,Hfcs,1.401
South Africa,Africa,2011,Agriculture,N2O,20.589
United Kingdom,Europe,2000,Buildings,Hfcs,11.124
