country,region,year,industry,gas_type,emissions_mt
India,Asia,2003,Waste,SF6,2.265
United Kingdom,Europe,2013,Buildings,CH4,8.216
Australia,Oceania,2016,Waste,HFCs,0.195
United Kingdom,Europe,2006,Buildings,HFCs,9.651
France,Europe,2021,Transport,N2O,9.065
South Korea,Asia,2008,Buildings,CH4,11.584
Germany,Europe,2021,Energy,SF6,3.41
United States,North America,2021,Transport,N2O,134.35
Japan,Asia,2017,Buildings,N2O,9.356
Russia,Europe,2016,Energy,N2O,41.3
Japan,Asia,2004,Energy,,14.267
Brazil,South America,2021,Buildings,CH4,1.635
India,Asia,2018,Industrial Processes,HFCs,30.486
South Africa,Africa,2002,Buildings,N2O,1.8
Germany,Europe,2022.0,Buildings,HFCs,10.849
India,Asia,2021,Agriculture,CH4,794.872
Indonesia,Asia,2012,Agriculture,HFCs,8.177
South Africa,Africa,2022,Buildings,CH4,3.051
Mexico,North America,2005,Energy,N2O,7.443
Brazil,South America,2010,Waste,CH4,24.47
United Kingdom,Europe,2021,Waste,N2O,1.452
United States,North America,2003,Transport,N2O,154.326
Canada,North America,2005,Industrial Processes,CO2,6.435
,Europe,2008,Agriculture,CO2,18.464
Indonesia,Asia,2014,Manufacturing,SF6,4.637
Canada,North America,2000,Manufacturing,CO2,49.243
Indonesia,Asia,2005,Energy,HFCs,9.614
India,Asia,2013,Industrial Processes,HFCs,25.726
Japan,Asia,2002,Industrial Processes,HFCs,3.05
India,Asia,2012,Energy,SF6,30.456
United Kingdom,Europe,2011,Land Use,HFCs,0.132
Japan,Asia,2002,Transport,SF6,2.414
South Africa,Africa,2019,,CH4,15.876
United Kingdom,Europe,2015,Manufacturing,CH4,
Brazil,South America,2023,Manufacturing,N2O,7.392
Germany,Europe,2015,Industrial Processes,CO2,5.304
South Africa,Africa,2003,Transport,CH4,2.796
United Kingdom,Europe,2009,Land Use,N2O,1.173
Japan,Asia,2003,Land Use,HFCs,0.1
Australia,Oceania,2023,Industrial Processes,SF6,1.545
Canada,North America,2008,Land Use,SF6,0.144
Indonesia,Asia,2008,Agriculture,SF6,1.772
United Kingdom,Europe,2001,Industrial Processes,N2O,0.408
China,Asia,2012,Industrial Processes,HFCs,129.439
South Africa,Africa,2008,Manufacturing,N2O,7.071
Mexico,North America,2016,Waste,N2O,5.155
South Africa,Africa,2001,Manufacturing,HFCs,6.614
South Africa,Africa,2020,Agriculture,SF6,0.726
United Kingdom,Europe,2007,Waste,SF6,0.105
Japan,Asia,2014,Buildings,N2O,9.746
United States,North America,2006,Waste,CH4,100.014
South Africa,Africa,2011,Waste,HFCs,0.268
United States,North America,2004,Energy,HFCs,58.07
Germany,Europe,2015,Buildings,SF6,0.85
United States,North America,2001,Land Use,SF6,1.108
Russia,Europe,2022,Buildings,SF6,1.374
Mexico,North America,2015,Energy,CO2,112.774
Japan,Asia,2000,Waste,CH4,22.261
Brazil,South America,2015,Manufacturing,SF6,3.771
Canada,North America,2019,Waste,CH4,16.142
Mexico,North America,2023,Energy,N2O,8.857
Indonesia,Asia,2012,Energy,N2O,18.052
China,Asia,2007,Agriculture,CO2,121.708
Indonesia,Asia,2009,Waste,HFCs,0.464
Indonesia,Asia,2012,Land Use,CH4,41.926
Canada,North America,2002,Buildings,CO2,53.309
South Africa,Africa,2010,Agriculture,N2O,22.835
India,Asia,2009,Transport,HFCs,25.038
Australia,Oceania,2010,Transport,SF6,0.921
Germany,Europe,2006,Transport,N2O,14.414
Mexico,North America,2010,Transport,HFCs,5.46
United States,North America,2023,Land Use,CH4,20.195
Australia,Oceania,2009,Manufacturing,CH4,4.482
Indonesia,Asia,2013,Industrial Processes,HFCs,2.547
Russia,Europe,2002,Waste,HFCs,0.617
South Korea,Asia,2008,Energy,CH4,52.791
United States,North America,2019.0,Buildings,CO2,406.91
France,Europe,2006,Manufacturing,SF6,0.931
Canada,North America,2015,Agriculture,HFCs,2.791
Russia,Europe,2001,Buildings,HFCs,20.212
France,Europe,2013,Manufacturing,HFCs,1.72
Australia,Oceania,2004,Buildings,HFCs,4.601
India,Asia,2017,Waste,SF6,3.701
Mexico,North America,2003,Industrial Processes,CO2,2.124
Germany,Europe,2012,Land Use,CH4,1.275
Canada,North America,2022,Land Use,SF6,0.138
Japan,Asia,2000,Land Use,N2O,0.1
France,Europe,2014,Industrial Processes,SF6,0.502
France,Europe,2015,Transport,SF6,
South Korea,Asia,2019,Energy,CO2,203.542
Japan,Asia,2003,Land Use,N2O,0.1
South Korea,Asia,2006,Transport,CO2,87.491
Indonesia,Asia,2019,Transport,CH4,7.998
Australia,Oceania,2019,Energy,SF6,
South Korea,Asia,2001,Waste,CH4,11.251
Russia,Europe,2008,Agriculture,HFCs,8.052
United Kingdom,Europe,2008,Transport,HFCs,4.027
South Africa,Africa,2003,Buildings,CH4,2.752
India,Asia,2013,Energy,SF6,30.361
Canada,North America,2003,Land Use,CO2,5.913
France,Europe,2006,Energy,N2O,4.206
India,Asia,2017,Agriculture,,636.096
China,Asia,2004,Transport,SF6,17.803
India,Asia,2023,Manufacturing,HFCs,128.667
,Oceania,2010,Waste,CH4,11.759
France,Europe,2007,Buildings,N2O,6.24
Japan,Asia,2012,Land Use,N2O,
India,Asia,2014,Industrial Processes,SF6,17.602
Germany,Europe,2014,Agriculture,CO2,5.059
Mexico,North America,2008,Buildings,N2O,4.412
South Korea,Asia,2009,Buildings,CH4,10.072
India,Asia,2005,Industrial Processes,N2O,8.112
United States,North America,2019,Buildings,SF6,6.358
United Kingdom,Europe,2004,Waste,CO2,2.545
United Kingdom,Europe,2009,Energy,CO2,66.945
South Korea,Asia,2006,Energy,CO2,178.25
Russia,Europe,2012,Agriculture,CH4,107.723
Canada,North America,2004,Buildings,HFCs,12.633
France,Europe,2012,Buildings,HFCs,
Mexico,North America,2013,Waste,HFCs,0.259
France,Europe,2020,Industrial Processes,CH4,0.142
France,Europe,2002,Transport,SF6,1.25
South Korea,Asia,2022,Agriculture,CO2,4.433
Australia,Oceania,2013,Transport,SF6,0.892
South Africa,Africa,2004,Waste,CO2,4.825
Mexico,North America,2022,Industrial Processes,CH4,0.301
South Africa,Africa,2007,Manufacturing,SF6,3.686
Indonesia,Asia,2022,Industrial Processes,HFCs,3.268
Australia,Oceania,2019,Buildings,CO2,23.294
India,Asia,2009,Land Use,CO2,53.871
Japan,Asia,2011,Industrial Processes,HFCs,
Mexico,North America,2006,Agriculture,CH4,38.149
Canada,North America,2001,Energy,CO2,176.409
France,Europe,2011,Energy,CH4,15.552
Canada,North America,2003,Industrial Processes,HFCs,3.853
France,Europe,2010,Energy,HFCs,2.463
United States,North America,2012,Agriculture,SF6,4.427
Mexico,North America,2017,Agriculture,HFCs,3.357
Russia,Europe,2010,,SF6,0.371
Russia,Europe,2012,Manufacturing,CO2,235.754
South Africa,Africa,2008,Land Use,N2O,3.569
United States,North America,2018,Transport,HFCs,57.033
India,Asia,2004,Manufacturing,CO2,491.929
South Africa,Africa,2020,Waste,HFCs,0.262
South Korea,Asia,2008,Buildings,CO2,43.918
United Kingdom,Europe,2003,Industrial Processes,CO2,1.808
Russia,Europe,2020,Buildings,HFCs,18.121
Indonesia,Asia,2011,Industrial Processes,N2O,1.017
Japan,Asia,2020,Agriculture,N2O,11.06
France,Europe,2016,Manufacturing,CH4,1.553
Indonesia,Asia,2013,Buildings,N2O,1.117
United States,North America,2012,Agriculture,HFCs,19.362
United Kingdom,Europe,2003,Transport,HFCs,4.12
Mexico,North America,2007,Buildings,CO2,28.59
Japan,Asia,2011,Manufacturing,N2O,23.301
Australia,Oceania,2010,Buildings,CO2,
South Africa,Africa,2006,Transport,CH4,3.002
Germany,Europe,2006,Waste,CH4,18.274
Mexico,North America,2008,Manufacturing,CO2,44.281
South Africa,Africa,2023,Transport,SF6,
Canada,North America,2015,Manufacturing,N2O,6.699
China,Asia,2007,Buildings,SF6,10.908
Russia,Europe,2000,Energy,SF6,16.759
Mexico,North America,2023,Industrial Processes,SF6,0.896
Brazil,South America,2001,Energy,CO2,110.639
France,Europe,2018,Industrial Processes,CH4,0.154
South Africa,Africa,2020,Buildings,SF6,0.205
Indonesia,Asia,2002,Energy,CH4,62.002
South Africa,Africa,2016,Industrial Processes,HFCs,1.401
South Africa,Africa,2011,Agriculture,N2O,20.589
United Kingdom,Europe,2000,Buildings,HFCs,11.124
Indonesia,Asia,2020,Buildings,CH4,1.777
Brazil,South America,2002,Waste,HFCs,0.384
United Kingdom,Europe,2001,Waste,HFCs,0.136
Australia,Oceania,2020,Industrial Processes,HFCs,2.335
United States,North America,2008,Land Use,CO2,41.316
